index,date,team_name,opp_name,goals,opp_goals,game_outcome,overtimes,empty1,shots,pen_min,goals_pp,chances_pp,goals_sh,empty2,shots_against,pen_min_opp,goals_against_pp,opp_chances_pp,goals_against_sh,season,corsi_for,corsi_against,corsi_pct,fenwick_for,fenwick_against,fenwick_pct,faceoff_wins,faceoff_losses,faceoff_percentage,zs_offense_pct,pdo
rs.1,20070929,ANA,LAK,1,4,L,,,27,18,1,,0,,21,18,3,,1,2008,,,,,,,,,,,
rs.2,20070930,ANA,LAK,4,1,W,,,25,15,2,,0,,23,15,0,,0,2008,,,,,,,,,,,
rs.3,20071003,ANA,DET,2,3,L,SO,,15,23,1,,0,,42,19,2,,0,2008,,,,,,,,,,,
rs.4,20071005,ANA,CBJ,0,4,L,,,28,26,0,,0,,37,31,3,,0,2008,,,,,,,,,,,
rs.5,20071006,ANA,PIT,4,5,L,,,23,10,1,,1,,29,10,1,,0,2008,,,,,,,,,,,
rs.6,20071010,ANA,BOS,2,1,W,,,30,6,0,,0,,19,6,0,,0,2008,,,,,,,,,,,
rs.7,20071014,ANA,MIN,0,2,L,,,37,25,0,,0,,25,33,0,,0,2008,,,,,,,,,,,
rs.8,20071015,ANA,DET,6,3,W,,,29,22,2,,2,,35,26,1,,0,2008,,,,,,,,,,,
rs.9,20071017,ANA,NSH,3,1,W,,,31,9,0,,0,,29,9,0,,0,2008,,,,,,,,,,,
rs.10,20071020,ANA,DAL,1,3,L,,,21,23,1,,0,,23,45,1,,0,2008,,,,,,,,,,,
rs.11,20071023,ANA,STL,2,4,L,,,16,29,0,,0,,33,29,2,,0,2008,,,,,,,,,,,
rs.12,20071025,ANA,PHX,0,1,L,,,31,10,0,,0,,21,12,0,,0,2008,,,,,,,,,,,
rs.13,20071028,ANA,EDM,2,3,L,SO,,32,8,0,,0,,22,6,0,,1,2008,,,,,,,,,,,
rs.14,20071101,ANA,CBJ,2,1,W,SO,,34,39,0,,0,,20,39,1,,0,2008,,,,,,,,,,,
rs.15,20071103,ANA,PHX,5,2,W,,,39,25,2,,0,,32,47,1,,0,2008,,,,,,,,,,,
rs.16,20071105,ANA,DAL,0,5,L,,,19,15,0,,0,,24,17,2,,0,2008,,,,,,,,,,,
rs.17,20071107,ANA,PHX,5,6,L,OT,,27,16,2,,0,,29,12,2,,0,2008,,,,,,,,,,,
rs.18,20071109,ANA,SJS,3,2,W,SO,,26,12,0,,0,,24,2,1,,0,2008,,,,,,,,,,,
rs.19,20071113,ANA,LAK,4,3,W,SO,,33,35,2,,0,,32,25,2,,0,2008,,,,,,,,,,,
rs.20,20071115,ANA,LAK,6,3,W,,,32,12,0,,0,,29,8,1,,0,2008,,,,,,,,,,,
rs.21,20071117,ANA,SJS,2,1,W,SO,,29,10,0,,0,,29,6,0,,0,2008,,,,,,,,,,,
rs.22,20071121,ANA,DAL,1,2,L,,,18,17,1,,0,,24,17,2,,0,2008,,,,,,,,,,,
rs.23,20071123,ANA,PHX,3,4,L,SO,,26,14,1,,0,,38,12,1,,0,2008,,,,,,,,,,,
rs.24,20071125,ANA,LAK,3,2,W,,,32,12,0,,0,,25,10,1,,0,2008,,,,,,,,,,,
rs.25,20071127,ANA,VAN,0,4,L,,,26,51,0,,0,,33,25,2,,0,2008,,,,,,,,,,,
rs.26,20071129,ANA,CGY,4,1,W,,,26,22,1,,1,,39,12,1,,0,2008,,,,,,,,,,,
rs.27,20071130,ANA,EDM,1,5,L,,,22,28,0,,0,,35,12,1,,0,2008,,,,,,,,,,,
rs.28,20071202,ANA,EDM,0,4,L,,,25,20,0,,0,,21,8,2,,0,2008,,,,,,,,,,,
